grid_r,grid_c,density_um2
0,0,0.9358999999999983
0,1,0.45990000000000086
0,2,0
1,0,36.104799999999976
1,1,8.432599999999981
1,2,0
2,0,18.464599999999958
2,1,4.699199999999997
2,2,0
3,0,0.10360000000000037
3,1,0
3,2,0
