layer,x1,y1,x2,y2,width,height,area,grid_r,grid_c
metal2,8.81,15.88,9.13,15.94,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,10.205,15.88,10.495000000000001,15.925,0.2900000000000009,0.04499999999999993,0.013050000000000022,1,1
metal2,8.81,15.74,10.495000000000001,15.88,1.6850000000000005,0.14000000000000057,0.23590000000000103,1,0
metal2,8.81,15.68,9.13,15.74,0.3200000000000003,0.0600000000000005,0.019200000000000175,1,0
metal2,10.205,15.695,10.495000000000001,15.74,0.2900000000000009,0.04499999999999993,0.013050000000000022,1,1
metal2,11.57,15.88,11.89,15.94,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,1
metal2,12.045,15.88,12.335,15.925,0.2900000000000009,0.04499999999999993,0.013050000000000022,1,1
metal2,11.57,15.74,12.335,15.88,0.7650000000000006,0.14000000000000057,0.10710000000000051,1,1
metal2,11.57,15.68,11.89,15.74,0.3200000000000003,0.0600000000000005,0.019200000000000175,1,1
metal2,12.045,15.695,12.335,15.74,0.2900000000000009,0.04499999999999993,0.013050000000000022,1,1
metal2,7.890000000000001,15.200000000000001,8.21,15.26,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,9.745000000000001,15.200000000000001,10.035,15.245000000000001,0.28999999999999915,0.04499999999999993,0.013049999999999942,1,0
metal2,7.890000000000001,15.06,10.035,15.200000000000001,2.1449999999999996,0.14000000000000057,0.3003000000000012,1,0
metal2,7.890000000000001,15.0,8.21,15.06,0.3200000000000003,0.0600000000000005,0.019200000000000175,1,0
metal2,9.745000000000001,15.015,10.035,15.06,0.28999999999999915,0.04499999999999993,0.013049999999999942,1,0
metal2,11.125,15.200000000000001,11.415000000000001,15.245000000000001,0.2900000000000009,0.04499999999999993,0.013050000000000022,1,1
metal2,12.030000000000001,15.200000000000001,12.35,15.26,0.3199999999999985,0.05999999999999872,0.019199999999999502,1,1
metal2,11.125,15.06,12.35,15.200000000000001,1.2249999999999996,0.14000000000000057,0.17150000000000065,1,1
metal2,11.125,15.015,11.415000000000001,15.06,0.2900000000000009,0.04499999999999993,0.013050000000000022,1,1
metal2,12.030000000000001,15.0,12.35,15.06,0.3199999999999985,0.0600000000000005,0.01920000000000007,1,1
metal2,5.5200000000000005,13.36,21.16,13.84,15.64,0.4800000000000004,7.507200000000007,1,0
metal2,7.890000000000001,12.96,8.21,13.22,0.3200000000000003,0.2599999999999998,0.08320000000000001,1,0
metal2,6.97,11.94,7.29,12.200000000000001,0.3200000000000003,0.26000000000000156,0.08320000000000058,1,0
metal2,16.17,12.14,16.490000000000002,12.200000000000001,0.3200000000000003,0.0600000000000005,0.019200000000000175,1,1
metal2,17.105,12.14,17.395,12.185,0.28999999999999915,0.04499999999999993,0.013049999999999942,1,1
metal2,16.17,12.0,17.395,12.14,1.2249999999999979,0.14000000000000057,0.1715000000000004,1,1
metal2,16.17,11.94,16.490000000000002,12.0,0.3200000000000003,0.0600000000000005,0.019200000000000175,1,1
metal2,17.105,11.955,17.395,12.0,0.28999999999999915,0.04499999999999993,0.013049999999999942,1,1
metal2,18.01,11.26,18.330000000000002,11.52,0.3200000000000003,0.2599999999999998,0.08320000000000001,1,1
metal2,5.5200000000000005,10.64,21.16,11.120000000000001,15.64,0.4800000000000004,7.507200000000007,1,0
metal3,6.99,30.075,7.2700000000000005,30.445,0.28000000000000025,0.370000000000001,0.10360000000000037,3,0
metal3,7.0600000000000005,23.11,7.2,30.075,0.13999999999999968,6.965,0.9750999999999977,2,0
metal3,18.95,27.355,19.23,27.725,0.28000000000000114,0.370000000000001,0.1036000000000007,2,1
metal3,9.58,24.295,11.46,24.665,1.8800000000000008,0.36999999999999744,0.6955999999999954,2,0
metal3,16.98,24.295,18.86,24.665,1.879999999999999,0.36999999999999744,0.6955999999999948,2,1
metal3,19.02,24.13,19.16,27.355,0.14000000000000057,3.2250000000000014,0.451500000000002,2,1
metal3,18.96,23.81,19.22,24.13,0.259999999999998,0.3200000000000003,0.08319999999999944,2,1
metal3,7.0,22.79,7.26,23.11,0.2599999999999998,0.3200000000000003,0.08320000000000001,2,0
metal3,17.12,22.79,17.38,23.11,0.259999999999998,0.3200000000000003,0.08319999999999944,2,1
metal3,12.06,22.11,12.32,22.43,0.2599999999999998,0.3200000000000003,0.08320000000000001,2,1
metal3,4.24,20.41,4.5,20.73,0.2599999999999998,0.3200000000000003,0.08320000000000001,2,0
metal3,11.6,20.41,11.86,20.73,0.2599999999999998,0.3200000000000003,0.08320000000000001,2,1
metal3,4.3,18.885,4.44,20.41,0.14000000000000057,1.5249999999999986,0.21350000000000066,1,0
metal3,8.84,19.73,9.1,20.05,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
metal3,8.38,19.45,8.64,19.71,0.2599999999999998,0.26000000000000156,0.06760000000000035,1,0
metal3,7.98,19.39,8.64,19.45,0.6600000000000001,0.05999999999999872,0.039599999999999164,1,0
metal3,7.98,19.31,8.58,19.39,0.5999999999999996,0.08000000000000185,0.04800000000000108,1,0
metal3,4.23,18.515,4.51,18.885,0.27999999999999936,0.370000000000001,0.10360000000000004,1,0
metal3,7.98,18.01,8.120000000000001,19.31,0.14000000000000057,1.2999999999999972,0.18200000000000033,1,0
metal3,7.92,17.69,8.18,18.01,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
metal3,7.98,15.290000000000001,8.120000000000001,17.69,0.14000000000000057,2.4000000000000004,0.3360000000000014,1,0
metal3,8.9,17.67,9.040000000000001,19.73,0.14000000000000057,2.0599999999999987,0.288400000000001,1,0
metal3,9.58,18.855,11.46,19.225,1.8800000000000008,0.370000000000001,0.6956000000000021,1,0
metal3,8.84,17.35,9.1,17.67,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
